"lnp_id","size_nm","charge_mV","peg_mol_percent","ionizable_lipid_fraction","cholesterol_fraction","helper_lipid_fraction","targeting_ligand"
"LNP_0001",78.7577520124614,-2.92787848040462,0.20944909369573,0.559619866838329,0.26993054893898,0.170449584222691,0
"LNP_0002",128.830513544381,-2.67117110081017,0.337546773068607,0.581982767426778,0.271887125956868,0.146130106616354,1
"LNP_0003",90.89769218117,-4.25799738615751,0.164073925372213,0.513411001439341,0.309582303117868,0.17700669544279,0
"LNP_0004",138.301740400493,-8.40054175350815,0.441372095514089,0.475258474260364,0.411409125259302,0.113332400480335,1
"LNP_0005",144.046728429385,-2.69091460853815,0.43909566309303,0.51229673199313,0.340863490677454,0.146839777329416,0
"LNP_0006",54.5556499389932,-6.43972370773554,0.291154725011438,0.498119430753619,0.380106809545963,0.121773759700418,1
"LNP_0007",102.8105488047,0.721074412576854,0.409476848971099,0.504653408404807,0.345283777949371,0.150062813645822,1
"LNP_0008",139.241904439405,0.0789742404595017,0.218160032201558,0.516568556896887,0.294267034416921,0.189164408686192,0
"LNP_0009",105.143501446582,8.9007020695135,0.126251244731247,0.511316695190678,0.281201998100755,0.207481306708568,1
"LNP_0010",95.6614735303447,-3.17357432097197,0.2762132499367,0.54104059729743,0.319030594163241,0.139928808539329,1
"LNP_0011",145.683334534988,-0.705724516883492,0.284839543141425,0.483861101137589,0.439104709760667,0.0770341891017439,1
"LNP_0012",95.3334156190977,-8.34937636740506,0.236373748071492,0.599301808940134,0.308697270639845,0.0920009204200208,1
"LNP_0013",117.757063545287,7.20213692169636,0.174056127481163,0.560542182996925,0.369347503310371,0.0701103136927032,1
"LNP_0014",107.263340195641,-2.08678720053285,0.302799090743065,0.470070286730452,0.430707121725937,0.0992225915436106,0
"LNP_0015",60.2924682665616,4.71798700746149,0.107676412258297,0.42850411637435,0.422278810372709,0.149217073252941,0
"LNP_0016",139.982497040182,-6.56513188034296,0.40947441579774,0.512785338618472,0.324847477473759,0.162367183907769,0
"LNP_0017",74.608773435466,-0.90476737357676,0.323866031691432,0.406530058160932,0.458583185003285,0.134886756835784,1
"LNP_0018",54.2059533530846,5.40409518871456,0.356585055682808,0.500837413895562,0.335845102919535,0.163317483184903,0
"LNP_0019",82.7920719282702,-8.74700003303587,0.28737284746021,0.505925655899647,0.350349488378529,0.143724855721824,1
"LNP_0020",145.450364914723,6.30162990186363,0.211689524259418,0.531837160644021,0.335134266593741,0.133028572762238,0
"LNP_0021",138.953931606375,-3.97714951075613,0.284486628137529,0.461117507378365,0.393791746727699,0.145090745893937,0
"LNP_0022",119.28034061566,-2.70657944027334,0.417095336690545,0.422581976338178,0.403725893769031,0.173692129892791,1
"LNP_0023",114.05068137683,-3.75774416141212,0.334226230531931,0.463912919142519,0.39141528807135,0.144671792786131,0
