"sample_id","IL6","TNFa","IL1b","IFNg","IFNa","CXCL10"
"SAMPLE_0001",12.5681436862914,10.0603756500083,11.4104220227584,16.6496060207809,11.8360517006701,14.5618050184517
"SAMPLE_0002",13.9758761749561,10.5855535981882,12.2939875115986,13.5842878408091,13.5148363228394,16.9302085134628
"SAMPLE_0003",14.5441789629616,12.0946468298959,12.6712614068995,17.4324160841484,12.1648141356144,14.9363047784904
"SAMPLE_0004",16.8606461672251,11.9774387987699,14.2123424262119,13.77676577517,15.1339518324252,16.7356023147032
"SAMPLE_0005",15.8425914381138,9.62405942719888,11.3715693683683,15.8382031742792,13.7835100452563,17.6302487999852
"SAMPLE_0006",13.8198820732372,10.4025776582359,12.4558882786372,19.7172740610647,10.8512310087007,13.6637039936661
"SAMPLE_0007",16.6918899535461,8.59305910282425,13.1379351309186,9.40186545028588,10.4683407551324,15.3510433544607
"SAMPLE_0008",15.4431298258563,7.96536624712857,16.1246404375996,5.50204970701174,12.4685223829112,17.3921441131106
"SAMPLE_0009",9.14543875215397,8.26922374167194,9.52847942817157,17.3802911048518,10.8753245404464,9.79517663110052
"SAMPLE_0010",13.4168066033249,10.4868288187788,11.6089128049299,16.2348639033836,11.3409849875389,16.3390406399648
"SAMPLE_0011",15.0809666096447,9.81845458653364,14.8120543125032,14.319928046774,10.9242410359951,16.6560129996894
"SAMPLE_0012",16.2123872681585,12.5079632411874,17.8705005113626,9.85645758265909,15.5269334230087,18.9289797812068
"SAMPLE_0013",26.084282046792,15.8128058539357,19.7938729705334,12.2276811666267,20.4564481091209,25.2390890762886
"SAMPLE_0014",21.8205756864242,13.1024156865762,18.7586864265209,17.4452333551524,18.2343199345282,21.2055928228825
"SAMPLE_0015",13.4651919528154,11.3653636533537,13.1378488522624,14.3200231470024,13.0994199206549,16.932515725832
"SAMPLE_0016",24.6994350346798,14.201080329749,20.6454787850009,12.3575598991894,20.9179014475844,23.917586670835
"SAMPLE_0017",11.2192410975691,7.94623585976903,9.20988668144931,16.508609792145,7.68297904471644,11.3655777233354
"SAMPLE_0018",12.9886961776436,10.4283102281267,11.5789245402502,15.3753393137779,12.4275303821036,14.8308297130684
"SAMPLE_0019",11.0426860893198,7.72191074429611,9.54795101293693,11.4103704237883,8.57843317561886,12.3194071693777
"SAMPLE_0020",13.7698173816801,10.7371384412912,14.8050444986157,14.0594485847758,13.5777918679489,16.6313142790986
"SAMPLE_0021",19.441616726175,12.8875735259001,16.7316454026151,16.5833079008354,16.2286566057982,21.2802130462681
"SAMPLE_0022",11.8008136314993,9.97770077589507,10.8179151876202,13.611701474214,12.0942695531637,15.5621956488715
"SAMPLE_0023",10.9332521689357,8.8993798171064,11.9049561966932,9.94819200760166,12.5067162472641,12.3146841441494
"SAMPLE_0024",10.4377993905792,8.33830233659753,10.4696201046535,16.7992893646479,9.60752113846475,12.7681713232074
"SAMPLE_0025",8.29655226429948,8.15690767774299,5.8516092369099,10.7158657700262,6.91096475898973,7.92923930397175
"SAMPLE_0026",10.1787497800515,10.0154264573592,11.2277283487437,14.4031010847968,10.1000894990411,13.0810697719924
"SAMPLE_0027",12.6283996989657,10.8430252983904,12.2201932048374,16.4415535775642,10.2656003333102,13.995032525105
"SAMPLE_0028",9.69430286258844,8.39123058155646,9.94086018544328,7.70040942358207,8.50190028545725,9.9290460812947
"SAMPLE_0029",9.84162192189057,8.77480287951216,9.54068028414748,15.601122332757,10.9980986842431,11.5989695876292
"SAMPLE_0030",14.6845602395628,9.8523552485659,12.5361797240029,14.800321276983,10.5618270742078,13.5782881664171
"SAMPLE_0031",10.7831842097236,9.7397450961863,8.62392659307219,19.9069023222647,8.79557378366486,11.8690269941411
"SAMPLE_0032",16.411368674837,10.6263144157816,14.7372396366204,15.2266548814539,13.5930643532689,17.3348711363149
"SAMPLE_0033",12.395666699835,7.91004598777116,9.60652659409684,16.5980026874063,11.1015206428527,12.4232403887913
"SAMPLE_0034",21.5384802840801,11.7706729875878,16.5334576911896,12.8086613130129,16.9529426734872,18.1562028648981
"SAMPLE_0035",11.7647549205341,11.2148759423691,11.176765512625,11.7665299238894,9.34690340500678,12.9434315444646
"SAMPLE_0036",9.97225061737082,8.54840457377948,6.82748032721674,12.7451253407088,8.0974034699235,10.4369413618268
"SAMPLE_0037",10.7181086984588,10.0581911655307,9.66187742420487,10.9107400575928,9.41148784770929,11.8582029038794
