"sample_id","interferon_response","inflammatory_response","antigen_presentation","adaptive_immunity","stress_response"
"SAMPLE_0001",8.65656422799958,8.14785653514727,9.91606451164571,9.61967806849404,6.47859694144495
"SAMPLE_0002",8.97545302058913,8.41773567799796,8.75629200787659,8.48611567732424,8.84247731412522
"SAMPLE_0003",8.55670786279456,7.8988478040158,10.021491142077,9.72837688426449,6.90482386139888
"SAMPLE_0004",9.17583780863217,9.12886218833523,8.2285241988622,8.16741485288294,8.49229016618767
"SAMPLE_0005",9.1449646322074,8.64953775626037,9.01062289607227,8.60400505048153,7.57899283115298
"SAMPLE_0006",8.37779251265066,7.91754033015922,10.3347700359581,9.60991336699179,6.53739359793531
"SAMPLE_0007",8.61142376955551,8.89806366102175,6.7055495349296,6.99058614693377,8.4877870857784
"SAMPLE_0008",8.87226177962198,9.04223577522555,6.0543230179049,6.2308504489545,8.61720422310673
"SAMPLE_0009",7.52282115801452,7.15918137756787,10.1267226313466,9.32879540917278,7.35422850704289
"SAMPLE_0010",8.61492919499582,8.48036851398279,9.4401096234343,9.08715098488407,7.10494321023018
"SAMPLE_0011",8.320860965991,8.20900710846825,9.01746455367963,8.77829635954354,7.14056049597897
"SAMPLE_0012",9.35944688933888,8.75462749452673,7.52542936858358,7.40132849515546,7.49140089735522
"SAMPLE_0013",10.7982052096833,11.2284638088188,7.25567116952863,7.24569562500115,10.2754032742369
"SAMPLE_0014",10.1613715567163,10.3816945889222,8.92889290141004,8.81226637796647,8.88369549584337
"SAMPLE_0015",8.77081878931894,8.52533844083165,8.74648511816748,8.71735521977467,7.01629500978217
"SAMPLE_0016",10.8257956312572,10.6997769194654,6.87433477220795,7.25532026730371,9.2717330157412
"SAMPLE_0017",7.8330697032706,7.30482742304138,9.58161634592165,9.53245534193327,6.49359940589424
"SAMPLE_0018",8.79182222237807,8.58607196695669,9.21543725252228,8.68601767021915,7.65959651302739
"SAMPLE_0019",7.83317852150788,7.49514662383559,8.16094578193249,7.78921036658659,6.76100473182118
"SAMPLE_0020",8.71826344521689,8.32525753634618,8.81883904479374,8.65210371242712,6.9948463561904
"SAMPLE_0021",9.76353538949314,10.1682930786886,9.6800981230249,9.10153427157202,8.72033034996521
"SAMPLE_0022",8.31208926833705,7.93828758484082,8.30961024073014,8.4183228862346,6.22744345092123
"SAMPLE_0023",7.98301509598399,7.91809080993457,7.0454175199616,7.53002859209776,9.26689709866748
"SAMPLE_0024",7.79509382106268,7.52778901945487,10.0115345738187,9.51709785503365,7.13683400334446
"SAMPLE_0025",7.31817476711081,6.70993339872628,7.53823080327923,7.6775750483067,9.76024957222493
"SAMPLE_0026",8.31967831966601,7.92802142710766,8.76902371942115,8.26668569913554,8.92708264208762
"SAMPLE_0027",8.00015464851986,7.75352737633721,9.1149412642396,8.673930262241,8.48634234928592
"SAMPLE_0028",7.53522681699296,7.39738657510857,6.46789066360101,7.17654438718147,7.29299492813862
"SAMPLE_0029",7.70067534497903,7.66103934334988,9.49514025016578,9.00393587884021,8.72652637026275
"SAMPLE_0030",8.77489175658249,8.23282066767272,8.75107116275892,8.79807601016089,7.49944123668907
"SAMPLE_0031",8.04858732117703,7.37298692545796,10.3152813016639,9.9857579817058,6.31195654106704
"SAMPLE_0032",9.05141005226455,8.98057931005668,8.75486307949784,8.64685883588117,7.5116406981157
"SAMPLE_0033",8.24978283684779,7.72081728404669,10.1751195186969,9.28833875901015,7.97971891743949
"SAMPLE_0034",9.63444986011869,10.0668402384078,8.05220838735477,7.99908840498722,9.33413371581928
"SAMPLE_0035",8.12236005733604,7.55557865491742,7.54840947321753,7.80908238484285,8.37360882917813
"SAMPLE_0036",7.44876912501725,7.1195044425468,7.70267505849736,8.06400835323834,9.38468749368478
"SAMPLE_0037",7.7954743849894,7.33366145593624,7.9636353550485,7.62404856833851,8.64082212643853
"SAMPLE_0038",8.02787393760272,7.66667223701026,9.17941779145258,8.49898434556346,7.92520995437145
"SAMPLE_0039",8.02823664244626,7.81365836424861,8.89509821438457,8.73656208267593,8.73802979232231
"SAMPLE_0040",8.87458794244928,8.69378626735393,10.1024609725134,9.66384388091519,7.98678141790447
"SAMPLE_0041",7.82308659213954,7.43012862820361,9.266919188679,8.8283829679821,7.16613772820048
"SAMPLE_0042",8.84781302239022,8.15363795095768,8.11089314655793,7.96468649873913,9.3110487042167
"SAMPLE_0043",9.15126528551532,8.73627313533503,8.56482774125149,8.28220159395677,7.52076513819469
"SAMPLE_0044",8.42386248228479,7.91503274935638,8.94581773732849,8.88736031372011,7.10858823102626
"SAMPLE_0045",9.17725273198404,9.33329396496305,9.03332124977012,8.78747529399181,8.34855134315908
"SAMPLE_0046",7.80708330177683,7.65692159923912,7.70371650242384,7.67590189230385,9.42717877874987
"SAMPLE_0047",8.49266430756573,8.15875517455034,10.3332299848934,9.85502670919272,6.35106295951515
"SAMPLE_0048",7.45826129281122,7.45890287267776,8.55972384575479,8.33168411093344,7.58592706956997
"SAMPLE_0049",7.62677631873036,7.22716263272035,8.95485955954066,8.93982228092045,7.60852316135165
"SAMPLE_0050",8.48962075490086,7.94105182032973,8.56232272301401,8.49275654729037,9.16272252576708
"SAMPLE_0051",8.39139106435132,8.31933221121724,8.74241691663885,8.47357310502764,7.09621633398552
"SAMPLE_0052",9.07766607902515,8.85065869045499,9.42616322401353,8.5947118257392,6.93767170893569
