"sample_id","CD4_T_cells","CD8_T_cells","B_cells","Plasma_cells","Monocytes","NK_cells"
"SAMPLE_0001",211.878203109372,247.772049262963,169.001950436014,85.7122714834738,163.969051780707,101.936184462278
"SAMPLE_0002",176.854498604605,193.735572349411,137.260291750263,65.6812649473396,179.617088177173,114.459253589444
"SAMPLE_0003",236.299030867039,267.704918654256,183.047295036925,89.7871285696102,166.53808269316,104.099951462042
"SAMPLE_0004",172.810349323301,192.884367289223,139.147834097067,66.4831130307178,186.834152140548,104.763487856681
"SAMPLE_0005",188.86326283733,199.72648243546,132.796058598699,78.2991517157562,174.92707718937,114.119733251301
"SAMPLE_0006",232.381019319907,256.038829038234,187.208337166456,101.832367417372,163.130089361618,101.15086155437
"SAMPLE_0007",139.172226937314,124.231464255581,111.568553629048,43.1215102882987,142.89383370125,99.5742351160751
"SAMPLE_0008",97.0007914414517,81.7421529736856,105.264060083773,19.898861905014,157.976189208521,110.427115721491
"SAMPLE_0009",206.488581237651,247.652748542345,178.801089281742,92.3124167466457,170.302926868576,84.7104539623823
"SAMPLE_0010",192.857007750075,223.972006550448,156.7762451207,82.3771765750015,165.36896522617,114.924550244321
"SAMPLE_0011",199.380478064771,211.405897638823,177.035648913378,72.561450731639,155.864113555483,116.281575702977
"SAMPLE_0012",154.259395044609,160.420878496993,145.475211881449,43.0392561375286,187.768763405739,119.825849624631
"SAMPLE_0013",149.824153163798,157.531474741925,109.09862343555,51.777338412397,209.385056276838,129.044980525523
"SAMPLE_0014",199.922751122567,226.581418437241,166.283330143481,85.0680956152115,193.872732560262,114.772248726352
"SAMPLE_0015",180.779995277936,202.274548636185,149.332294947583,69.6604954600515,178.307640685728,115.285900732012
"SAMPLE_0016",162.897063882822,142.224602622969,121.99787482943,51.8422693648283,212.880210541715,125.708948852608
"SAMPLE_0017",220.877166972756,248.475551164057,179.232311117652,88.7571655144007,138.921374471085,93.9184677718265
"SAMPLE_0018",174.430996251464,216.081052249228,145.041407550799,77.5099363283883,164.761476646779,98.7262323061165
"SAMPLE_0019",168.201039091013,166.324055092476,134.443209874027,56.9676615535278,148.959235656984,100.89166551527
"SAMPLE_0020",181.417430198525,208.243315831562,164.993780122091,69.3964775566087,178.270337290963,112.522547939967
"SAMPLE_0021",194.759498063818,240.357193834917,164.772353060016,82.5393551180137,180.505447475333,121.530565685698
"SAMPLE_0022",181.21582819346,198.611350946432,147.829609240018,68.3587499315245,177.595371553416,115.858348749478
"SAMPLE_0023",142.636638249974,146.195699871042,133.559137581059,47.5517184795876,183.702943070214,94.5697429259214
"SAMPLE_0024",213.013551454479,252.598109605143,186.224404332804,89.727124117073,156.263428432351,101.378488385782
"SAMPLE_0025",153.675838122965,175.421915464686,115.708835007749,55.1649305978278,136.661896834621,77.1371817858491
"SAMPLE_0026",173.068691403255,210.68728546843,153.963654027093,72.9748184371088,151.283319321636,97.5852567926432
"SAMPLE_0027",200.964397211971,228.056391508005,171.780128590768,84.2193786217381,159.991056297845,106.276664198997
"SAMPLE_0028",140.392543526651,136.80593453858,123.960176285986,36.7093459956082,151.2589710453,87.668303870209
"SAMPLE_0029",197.576316262823,237.556887176331,172.26078929628,83.0107518025866,173.572051760104,95.0714890475071
"SAMPLE_0030",195.080761426357,205.250321978512,156.644968171735,74.1877608735828,158.137964610657,96.9723660111815
"SAMPLE_0031",230.67536903008,270.881517606174,176.477564351045,105.168297672174,146.7916403166,95.7778629311
"SAMPLE_0032",186.260233394186,206.143697409265,156.251723583488,75.3025549679521,169.020172687538,108.485621375368
"SAMPLE_0033",218.532730068051,233.959814730606,165.17417916824,86.7542677854374,165.001102639767,95.2054411534113
"SAMPLE_0034",177.081458172078,182.126392872568,134.716180681736,60.4960496151065,184.384302988485,98.5906192798432
"SAMPLE_0035",165.503132389995,184.570329091442,136.593565917649,57.4298310626783,149.558892637431,100.885142028526
"SAMPLE_0036",173.093117962781,181.792891841826,127.224851714787,65.4956871589698,149.62078625677,93.2776572181197
"SAMPLE_0037",162.112033344825,178.140745130641,130.202589437421,53.6891237171844,156.068775504945,97.4875851481562
"SAMPLE_0038",183.051836292639,209.960820642138,153.049264630149,70.9470850205842,166.874901123847,92.8290359955136
"SAMPLE_0039",193.79426220783,214.312802845268,160.640932023508,78.8298598313713,174.426618277198,105.56368074291
"SAMPLE_0040",215.17034138839,252.449423255821,193.089268405091,94.5748538089419,157.047357741124,108.988846895306
"SAMPLE_0041",187.31402158391,216.347131984354,149.214285884127,81.2799084842881,153.66080991277,79.4234858228522
"SAMPLE_0042",174.423881790599,188.119496793646,148.255058770448,67.0481360935519,179.215748124683,115.961009582911
"SAMPLE_0043",172.854006988957,205.680234047054,148.436203628314,69.405453323166,157.103395531822,97.7862421907504
"SAMPLE_0044",214.30659864877,212.459117728057,158.709134487713,85.1462862166799,157.400738347832,98.648384911368
"SAMPLE_0045",200.285662750879,222.839228106016,159.231035507851,75.1958506466911,170.335527622978,95.6663737961655
"SAMPLE_0046",148.838349066802,173.665165762887,120.022810051553,62.5831905334247,156.554348665005,93.2336028731667
"SAMPLE_0047",225.154533048109,257.198612431524,176.473735776604,96.7169537502033,160.551627817191,110.040853316461
"SAMPLE_0048",178.515505933209,204.289331558203,144.584776964628,72.4188640782852,151.082930110955,94.3700026280195
"SAMPLE_0049",201.80377530773,239.606400282106,173.650769165576,69.6079896453974,144.180706864382,97.8695296109974
"SAMPLE_0050",182.572094369387,197.483191160742,149.811990614535,69.3814683340098,157.252194383278,89.7720009424141
"SAMPLE_0051",185.313139474427,210.199522855333,152.056967987881,69.862982117677,157.075456972137,100.906456874839
"SAMPLE_0052",187.150835794856,208.817950468486,151.297235096617,68.6357988155044,175.729435210201,114.234538598642
"SAMPLE_0053",195.299146792932,230.715138491242,163.465700565016,72.2058018486461,181.761643367294,114.913650426629
"SAMPLE_0054",199.887573368756,211.513917947366,146.502192903063,78.1040495707431,185.123974808928,100.51576431242
"SAMPLE_0055",150.663126656373,173.17499246508,132.987695850589,56.052370394627,174.793458793941,118.262915505573
"SAMPLE_0056",178.479856334179,168.496403074713,139.967718330883,53.3151949250135,155.917104637605,82.9288533113975
"SAMPLE_0057",142.807977501829,159.451776733791,119.546710698192,55.2406939360744,177.221429467921,125.515745326645
"SAMPLE_0058",126.467979020903,111.207512452112,98.5956501530082,27.5119148145134,175.111420087407,99.4165953452155
"SAMPLE_0059",134.756482257295,127.843438276412,113.868693211442,35.0040228530153,161.34153240741,105.610517505629
"SAMPLE_0060",173.49030520451,180.829229205266,144.264158401902,65.6847258340668,171.602916677165,105.465161721155
"SAMPLE_0061",173.543291350951,180.507172275273,150.610618367741,58.8735852928576,171.962871912443,93.7306399798414
"SAMPLE_0062",201.430549563853,237.007969125009,162.970378951448,88.2368822238477,159.905586970446,116.604906539879
"SAMPLE_0063",163.718273806564,172.526296300451,144.249036987189,60.0229777209281,187.842390792917,107.712514148918
"SAMPLE_0064",180.889305454338,220.627644282483,162.490641178859,76.1034899904455,149.127651615825,95.1133253880398
"SAMPLE_0065",211.471924287506,246.991385157675,178.738680027536,89.4096189701558,178.141621699756,109.940417133063
"SAMPLE_0066",108.771616255258,98.2092515225236,77.4787423941116,18.0499255996964,157.350609204101,108.330202030673
"SAMPLE_0067",175.865423036892,191.360694544291,131.519959146138,67.9416080897277,160.253357714957,102.392008639087
"SAMPLE_0068",175.079737741864,192.34857105133,145.875382270243,65.9837798146255,170.14543450502,109.333795038258
"SAMPLE_0069",193.703221841336,206.205062156362,151.368554545482,70.5997104617056,144.71743555041,100.109724633084
"SAMPLE_0070",171.337238037549,158.969927670527,140.013288461922,53.3081129642481,159.277602260174,108.116541741012
"SAMPLE_0071",195.964311725206,236.57447173363,167.524904562018,86.5650783451912,165.003270444111,101.485052516161
"SAMPLE_0072",167.336375874068,198.261130856509,148.532546731355,67.9950029544166,152.68131555787,101.827691769155
"SAMPLE_0073",223.285557028978,241.774418212456,167.828702706423,85.3967470776523,147.958511625706,90.0177367375385
"SAMPLE_0074",150.265349472365,167.153901196337,121.956582914012,50.4652980802779,157.197318895016,102.465080328085
"SAMPLE_0075",177.210928943715,201.882474825587,151.67227203939,61.7040423842231,174.185223257594,103.778859270757
"SAMPLE_0076",204.774416133208,236.632956308838,156.867393803242,82.0400477928991,157.2916662134,111.338345898151
"SAMPLE_0077",179.638680598342,204.939210831619,152.377894840804,70.1119670265713,167.774576348447,92.6908740005096
"SAMPLE_0078",207.808268674041,256.674170813207,175.303637559373,91.5802660943358,146.571459320913,114.949322913439
"SAMPLE_0079",178.690515395081,183.372312936125,143.522260360551,66.1273157625144,172.831260255462,117.920395988609
"SAMPLE_0080",146.703622326263,145.992680566015,114.001550305684,46.1380497283448,180.851642940284,121.385202595379
"SAMPLE_0081",172.624596238976,183.746789985647,155.722417639083,59.4299965821848,159.409304186528,109.305922190204
"SAMPLE_0082",168.129577338414,173.112226980873,136.867085626266,63.2876824941053,146.452232161338,95.4592493041278
"SAMPLE_0083",188.736699550019,205.811005349291,158.263385627627,67.8902645180141,176.018073843991,112.350680755598
"SAMPLE_0084",183.946981162712,198.430706980209,132.125074659728,69.4766759745636,152.817040010963,96.3746970576555
"SAMPLE_0085",114.561478732572,100.734614909186,98.8828112189959,25.8321644824845,147.280275839987,94.5756193440975
"SAMPLE_0086",136.827665779241,128.059202561029,100.288853012226,41.9155971134769,151.861389796797,106.410922606088
"SAMPLE_0087",220.708216367973,247.170042600808,166.145747624148,83.4566499467165,149.345247675501,92.0432181641486
"SAMPLE_0088",180.120058519331,184.657012009824,151.212234862057,63.3664555421763,158.319331795136,87.6918826839052
"SAMPLE_0089",143.083641460881,149.793685481145,114.454306615543,56.2614860722134,169.192896843994,106.946564081304
"SAMPLE_0090",227.70572427549,246.791270628689,164.775741199876,94.4505710913965,152.800357541387,105.674151946945
"SAMPLE_0091",180.867691759018,162.992512465789,154.925616971883,53.0273114254145,175.095067282276,100.734830012309
"SAMPLE_0092",204.543197816956,233.8333753471,144.444096380936,80.7256753650365,159.660376259811,87.7979891881694
"SAMPLE_0093",174.7114448708,199.90600634873,145.250484730467,61.4218899126589,167.007065993109,123.747459518596
"SAMPLE_0094",166.870767241814,184.84132272381,148.049673867785,57.4532785711892,159.318088207246,104.625045571328
"SAMPLE_0095",150.323582923462,141.914181767465,107.817559846067,44.711947453289,174.469297286255,127.072133972878
"SAMPLE_0096",178.352907929475,195.258518927821,152.850116933503,70.5428183560882,175.728944311908,125.689768749671
"SAMPLE_0097",189.091279686223,184.000331399057,143.173556225517,61.3130365824135,160.725305165249,101.991609323279
