"lnp_id","size_nm","charge_mV","peg_mol_percent","ionizable_lipid_fraction","cholesterol_fraction","helper_lipid_fraction","targeting_ligand","mean_safety_score","mean_delivery","mean_adaptive_activation","mean_innate_activation","mean_cytokine_burden","mean_off_target_activation","pareto_optimal"
"LNP_0462",93.6129996087402,-1.00800178479403,0.399105833750218,0.477647912702742,0.431320381918687,0.091031705378571,1,0.833991523242452,3.05734284600617,4.21716886092531,1.43066348690998,1.54568017385732,0.508506710395598,TRUE
"LNP_0428",88.8204663759097,1.09363658819348,0.493633543048054,0.376300626226774,0.427976831045156,0.19572254272807,1,0.832007065094428,3.10227880334956,4.26416358131987,1.44258307740196,1.76318855234394,0.508962330678272,TRUE
"LNP_0449",85.8056963421404,-1.6948509356007,0.30026867967099,0.598698499676246,0.342006278828472,0.0592952214952825,1,0.822608856044919,3.02268642090659,4.20922519358256,1.43587291401684,1.53484820414719,0.828983338937024,TRUE
"LNP_0007",102.8105488047,0.721074412576854,0.409476848971099,0.504653408404807,0.345283777949371,0.150062813645822,1,0.819276448739016,3.01274788821228,4.16103095627753,1.51706616459124,1.75146468757902,0.30241017836827,TRUE
"LNP_0419",97.8456383803859,-2.32126656919718,0.40911775957793,0.516176699840256,0.345445278826466,0.138378021333278,1,0.817815931877039,3.07229403903908,4.28927599900294,1.47316850308855,1.59636348811925,1.14533672648261,TRUE
"LNP_0109",91.0689776530489,-3.3800434274599,0.480289639346302,0.466218533053709,0.394831297601722,0.138950169344569,1,0.814701475497078,2.99069253380632,4.24340571222995,1.29065744004398,1.41019331822866,1.71379305628034,TRUE
"LNP_0364",80.8119554305449,-0.627616751007736,0.274638611916453,0.517230525633537,0.391734283551729,0.0910351908147338,1,0.814561321482523,2.91249068207175,4.13220797765326,1.50606118620348,1.59963304850823,0.308181239494147,TRUE
"LNP_0374",95.510805095546,0.547898812219501,0.345423847343773,0.515114624393842,0.400721801172917,0.0841635744332413,1,0.812139564838826,3.0172025090055,4.24182995253058,1.63048003387005,1.81090604901732,0.309157080887303,TRUE
"LNP_0017",74.608773435466,-0.90476737357676,0.323866031691432,0.406530058160932,0.458583185003285,0.134886756835784,1,0.803656257283718,2.79390751567274,3.97767656274668,1.42048230316008,1.49627370108319,0.459025976030297,TRUE
"LNP_0442",108.387233596295,-0.195516035892069,0.345106361154467,0.468929058018287,0.331895852477489,0.199175089504224,1,0.800625895492876,2.76484797363846,3.98502314479757,1.50310128703723,1.57338251451728,0.122754658163843,TRUE
"LNP_0467",73.0096920393407,0.965611478313804,0.46767194615677,0.492253285244461,0.29697368353357,0.210773031221969,1,0.799835849573105,2.91451707338865,4.09896972916346,1.50897645158859,1.87283988083806,0.489032957688293,TRUE
"LNP_0199",65.2346616843715,-1.42773817293346,0.487420371174812,0.499189116605839,0.349672881561079,0.151138001833082,1,0.788928181652389,2.6255647571851,3.76804470101352,1.28147724683229,1.34870486018931,0.714965632856699,TRUE
"LNP_0010",95.6614735303447,-3.17357432097197,0.2762132499367,0.54104059729743,0.319030594163241,0.139928808539329,1,0.785430548896069,2.82050962004629,4.06459364228549,1.39959457982816,1.48512058015252,1.53065752171843,TRUE
"LNP_0025",115.570579911582,0.376098467968404,0.424494939856231,0.58258254117628,0.297731865694883,0.119685593128837,1,0.780670614476418,2.63088424542508,3.86386225817945,1.47539955093735,1.6054937268424,0.278602061018502,TRUE
"LNP_0307",65.663685137406,-0.230090352706611,0.12936575897038,0.558826159402888,0.346078600106481,0.095095240490631,1,0.758182112072055,2.44149374966372,3.73058804408732,1.50280612269468,1.65531979280835,0.112366437602252,TRUE
"LNP_0080",61.1135424347594,-0.198730938136578,0.24217386841774,0.528099444345447,0.289141429274323,0.18275912638023,1,0.744065648454425,2.30564131736717,3.63261500021458,1.4979843524739,1.5788243061146,0.13372205109312,TRUE
"LNP_0071",125.447515863925,1.06627975124866,0.415363752655685,0.514057068585655,0.337953981772417,0.147988949641928,1,0.704721346287797,2.07283581926871,3.35498887455428,1.40015573661282,1.73876764882323,0.501171151944342,TRUE
"LNP_0256",128.529167128727,-0.203258967958391,0.446386833209544,0.534710248666578,0.334627889566723,0.130661861766699,0,0.590900451580262,1.26115886966556,2.34860282658121,1.40242297294626,1.54388344338222,0.684396511407187,TRUE
"LNP_0059",139.50453591533,0.196857987903059,0.215306481905282,0.460776373735029,0.414854539164513,0.124369087100457,1,0.573849863726178,0.983334267815726,2.50954415247176,1.49429287716652,1.6472293833374,0.180010311254628,TRUE
