"inflammatory_risk_class","metric","n_records","mean","sd","median","q1","q3","min","max"
"Low","Adaptive activation",54500,2.62330267901725,0.869074342946561,2.64866868923112,1.96711121803078,3.25267253354439,0.445923084604176,4.96713585281635
"Low","Cytokine burden",54500,2.15472607047988,0.884993704003388,1.81373395070286,1.47927005260056,2.83346395033656,0.421369351232198,5.06689299278433
"Low","Delivery",54500,1.43639253817139,0.853897503349731,1.50672010096722,0.811596161940242,2.07758698732155,0,3.36607264489138
"Low","Innate activation",54500,1.61792198811334,0.374677304053179,1.58912841638624,1.3633261213461,1.86500023494501,0.398988246083704,3.12475019143314
"Low","Off-target activation",54500,2.78522990730483,1.53077730704937,2.80367993839692,1.46183956948105,4.13221860796899,0,6.10520123844301
"Low","Safety-by-Design score",54500,0.530321390974489,0.160263842822721,0.536152223306029,0.409365339204713,0.651138519004988,0.0910566731539976,0.923409206612126
"Intermediate","Adaptive activation",39000,2.64505358302526,0.868072232190761,2.66771969096811,1.98983482562306,3.27551737867931,0.566087111413944,4.94922781749763
"Intermediate","Cytokine burden",39000,2.38176303527691,0.889488324300916,2.05375683371132,1.69302766948294,3.06414206611485,0.753444995442161,5.48675936907695
"Intermediate","Delivery",39000,1.43673628171711,0.854628950890818,1.5075506381203,0.814603994009836,2.0753826724504,0,3.34795571123981
"Intermediate","Innate activation",39000,1.80630469109021,0.388090386369794,1.77957679348998,1.53220385535082,2.06134218683834,0.689187613756994,3.40275180248152
"Intermediate","Off-target activation",39000,2.93776358985296,1.53327179476086,2.95677912413066,1.61128891426198,4.2878272768462,0,6.10084773329789
"Intermediate","Safety-by-Design score",39000,0.505597859445351,0.160719415487107,0.510689060085108,0.384508697277669,0.627302481954694,0.0672910584387155,0.928008003094331
"High","Adaptive activation",6500,2.61114167035382,0.86385417399686,2.63038488678561,1.96074403746473,3.23507893526291,0.720519122844911,4.89365968138731
"High","Cytokine burden",6500,2.77487506252954,0.874572520238529,2.39097914696518,2.10282535654903,3.46430459950134,1.38621815380564,5.34380214973872
"High","Delivery",6500,1.43747715566088,0.854953350279485,1.50704164781422,0.810096179377297,2.07477380412362,0,3.31492942788068
"High","Innate activation",6500,2.16362720003586,0.333745464018339,2.1291214603692,1.92120734458152,2.37759946989431,1.29462542475724,3.24638934134936
"High","Off-target activation",6500,3.15560548680078,1.53251204623441,3.18616403801535,1.84290616987884,4.49480654402171,0,6.25043223619273
"High","Safety-by-Design score",6500,0.458618522662693,0.159037003313565,0.462591606098829,0.338090495850791,0.580220834053486,0.0694920722384664,0.823244741074694
