"inflammatory_risk_class","lnp_id","size_nm","charge_mV","peg_mol_percent","ionizable_lipid_fraction","cholesterol_fraction","helper_lipid_fraction","targeting_ligand","n_records","mean_safety_score","sd_safety_score","mean_delivery","mean_adaptive_activation","mean_innate_activation","mean_cytokine_burden","mean_off_target_activation","sbd_rank","pareto_optimal"
"High","LNP_0462",93.6129996087402,-1.00800178479403,0.399105833750218,0.477647912702742,0.431320381918687,0.091031705378571,1,13,0.779298981633696,0.0189666546278031,3.08364657266251,4.28208624571119,1.88446024899364,2.02588616575256,0.868998735225486,1,TRUE
"High","LNP_0374",95.510805095546,0.547898812219501,0.345423847343773,0.515114624393842,0.400721801172917,0.0841635744332413,1,13,0.772484996217587,0.0244512881605832,3.06303072739941,4.26677013619084,1.96486264766802,2.22792056642827,0.534743274914869,2,TRUE
"High","LNP_0428",88.8204663759097,1.09363658819348,0.493633543048054,0.376300626226774,0.427976831045156,0.19572254272807,1,13,0.765439190206472,0.0286987063107619,3.0970759728624,4.30310229037918,1.95618273840277,2.3234502083363,0.906305286747342,3,TRUE
"High","LNP_0007",102.8105488047,0.721074412576854,0.409476848971099,0.504653408404807,0.345283777949371,0.150062813645822,1,13,0.760399854152808,0.017392194589427,2.99935866637375,4.16915163234031,1.9361407384882,2.28007452852273,0.64821188137025,4,TRUE
"High","LNP_0419",97.8456383803859,-2.32126656919718,0.40911775957793,0.516176699840256,0.345445278826466,0.138378021333278,1,13,0.757179758131348,0.022607614178963,3.0186551155756,4.25268147470793,1.91017801455885,2.04841256927021,1.38301985717133,5,FALSE
"High","LNP_0449",85.8056963421404,-1.6948509356007,0.30026867967099,0.598698499676246,0.342006278828472,0.0592952214952825,1,13,0.755600919400336,0.0148985370051283,2.98630160491864,4.17217916872525,1.91614368725692,2.10300473218646,1.10006622025095,6,FALSE
"High","LNP_0442",108.387233596295,-0.195516035892069,0.345106361154467,0.468929058018287,0.331895852477489,0.199175089504224,1,13,0.749846037161727,0.0277066777004754,2.77019794732787,3.99520860963694,1.92270075387329,2.00075846268215,0.344496744603802,7,TRUE
"High","LNP_0364",80.8119554305449,-0.627616751007736,0.274638611916453,0.517230525633537,0.391734283551729,0.0910351908147338,1,13,0.749782014407559,0.0369817863524845,2.91047716651719,4.09081251980922,1.98780086635777,2.13646230366641,0.647049799108177,8,TRUE
"High","LNP_0467",73.0096920393407,0.965611478313804,0.46767194615677,0.492253285244461,0.29697368353357,0.210773031221969,1,13,0.748109998149161,0.0268579282486764,2.91212842299039,4.15840981797167,1.95382164223593,2.29144393433354,0.734768225784647,9,FALSE
"High","LNP_0466",77.077801944688,1.38886549510062,0.445512916892767,0.526246112429754,0.380303940182633,0.0934499473876125,1,13,0.747466675167836,0.0211703244163416,3.0204479576752,4.18691260843025,1.96415251858791,2.43092310989126,0.996648115909177,10,FALSE
